iter	Accuracy	MultiClass
0	0.9348399028	1.01591885
1	0.9343780057	0.9432176021
2	0.9398700529	0.8800192886
3	0.9414187668	0.8232174144
4	0.9423516178	0.7727938565
5	0.9422538043	0.7276272242
6	0.9416325074	0.6872573775
7	0.9428080808	0.6495647618
8	0.9428098922	0.6152770124
9	0.9483544689	0.5801588694
10	0.9516384668	0.5482175398
11	0.9552847369	0.5186742868
12	0.9576123361	0.4914967649
13	0.9590143297	0.4667178309
14	0.9604145119	0.4436938943
15	0.9614596673	0.4223212947
16	0.9620085098	0.402401724
17	0.9623273093	0.3839496176
18	0.9625356159	0.3668282368
19	0.9624522933	0.3508421826
20	0.9624993887	0.335969243
21	0.9624903319	0.3219009398
22	0.9624051979	0.3087278401
23	0.9628290564	0.2963830514
24	0.9626823361	0.2849341864
25	0.9627928292	0.2742121551
26	0.962736677	0.2642478231
27	0.9627656588	0.2548280471
28	0.9628652836	0.2458643915
29	0.9628942654	0.2374226412
30	0.9629431722	0.22942561
31	0.9630663447	0.222029705
32	0.9632275559	0.2150430113
33	0.9633199353	0.2084414253
34	0.963363408	0.2022405725
35	0.9635137509	0.1963037598
36	0.9636115645	0.1907376048
37	0.963669528	0.1855001931
38	0.9636314894	0.1806629075
39	0.9637401711	0.1760755003
40	0.9637818324	0.1715646578
41	0.9639521004	0.1674978157
42	0.9640263662	0.163470041
43	0.9641115002	0.1597129307
44	0.9641604069	0.1562478174
45	0.9642256159	0.1528559994
46	0.9642002569	0.1496925966
47	0.9642781454	0.1466789772
48	0.9642781454	0.1439028893
49	0.9641875773	0.1412843066
50	0.9641513501	0.1388461555
51	0.9641966341	0.1365783997
52	0.9642636545	0.1342642836
53	0.9642853908	0.1321401312
54	0.9643252408	0.1300547004
55	0.9644013179	0.1280927282
56	0.9645842654	0.1263444409
57	0.9646857017	0.1246061069
58	0.9647690243	0.1229994633
59	0.9647889492	0.1214613054
60	0.9648469128	0.1200792104
61	0.9648940082	0.1187929578
62	0.9648324219	0.1176520548
63	0.9648614037	0.1164895676
64	0.964857781	0.1154416087
65	0.9648559696	0.1143838197
66	0.9649338581	0.1132926442
